社員番号,フォロワー数,いいね数
2143804,61,120
2143705,32,47
2142906,32,88
2142401,153,2324
2142302,99,775
2142203,51,64
2142104,46,126
2142005,53,90
2141909,87,562
2141602,48,188
2141503,49,67
2141206,35,0
2141107,111,846
2141008,98,2377
2140902,28,120
2140803,42,133
2140605,67,453
2140308,20,190
2140209,30,65
2140100,60,967
2140001,61,205
2139807,40,59
2139401,30,627
2139302,24,31
2139104,33,100
2138909,27,84
2138701,23,4
2138206,27,47
2138107,35,76
2137902,28,4
2137506,37,175
2137001,98,317
2136905,25,115
2136806,84,1434
2136707,51,188
2136608,37,80
2136400,28,145
2136202,80,998
2136103,59,117
2136004,42,17
2135908,47,27
2135809,25,0
2135700,67,481
2135601,22,1
2135502,24,29
2135106,64,316
2135007,38,84
2134901,63,325
2134802,39,76
2134505,155,633
2134406,59,228
2134307,45,112
2134208,62,212
2134000,55,351
2133805,124,1795
2133706,46,78
2133508,28,75
2133409,34,92
2133201,98,816
2133102,56,243
2132907,137,1362
2132600,59,154
2132501,38,30
2132204,51,1404
2132105,34,80
2131900,66,512
2131801,19,4
2131702,19,0
2131603,41,52
2131306,133,1116
2131108,34,53
2131009,71,531
2130903,72,871
2130705,53,212
2130507,70,835
2130200,24,2
2130002,38,31
2129808,41,40
2129105,53,151
2128801,48,136
2128702,190,3727
2128603,11,37
2128405,28,117
2128306,45,14
2128207,74,648
2128009,56,390
2127903,99,1840
2127705,75,369
2127606,51,199
2127507,66,71
2127408,45,22
2127200,48,451
2127101,47,127
2127002,64,150
2126906,42,16
2126807,13,0
2126609,187,1416
2126500,65,788
2126401,57,612
2126302,190,1258
2126203,48,132
2126104,50,108
2126005,114,689
2125800,41,55
2125701,112,1399
2125602,366,17870
2125305,17,12
2125206,48,103
2125107,112,1588
2124902,54,583
2124803,74,604
2124605,54,277
2124506,33,69
2124407,45,120
2124308,109,1799
2124209,32,80
2123905,39,71
2123806,41,623
2123707,34,29
2123509,44,88
2123202,44,61
2123103,31,224
2123004,31,21
2122908,36,60
2122809,26,119
2122700,28,9
2122601,14,77
2122502,22,2
2122403,19,6
2122205,41,20
2122007,25,8
2121802,29,98
2121604,19,0
2121406,9,16
2121307,28,116
2121208,9,0
2121109,28,4
2120904,12,11
2120607,15,53
2120409,18,85
2120201,22,4
2120102,97,458
2119908,57,99
2119700,58,100
2119601,39,109
2119502,67,197
2119304,41,87
2119205,88,78
2119106,41,1111
2118901,104,290
2118802,18,7
2118604,71,176
2118505,32,54
2118208,17,11
2118109,22,25
2118000,22,1
2117904,51,92
2117805,50,77
2117607,98,170
2117508,33,0
2117409,43,46
2117300,11,3
2117102,30,44
2116907,69,4914
2116808,35,37
2116709,28,94
2116600,32,85
2116402,65,827
2116303,53,45
2116105,40,107
2116006,37,11
2115900,152,413
2115702,20,35
2115603,24,84
2115504,58,78
2115405,23,12
2115306,249,3691
2115009,78,977
2114903,66,167
2114804,22,1319
2114705,165,1612
2114606,30,20
2114507,79,29
2114408,45,272
2114309,22,9
2114200,20,0
2114101,18,34
2113906,51,324
2113708,21,22
2113609,37,290
2113500,41,10
2113401,71,39
2113302,34,31
2113005,45,284
2112909,25,18
2112800,162,1056
2112701,53,7
2112503,24,47
2112404,49,80
2112305,39,1058
2112107,23,49
2112008,13,3
2111902,234,724
2111803,116,987
2111704,62,14
2111605,12,1
2111506,87,265
2111209,32,91
2110905,26,7
2110806,36,209
2110707,21,0
2110608,9,0
2110509,38,34
2110400,26,41
2110301,8,0
2110202,71,68
2110103,36,63
2110004,11,4
